strain,id,race,flavors,effects,0
Shishkaberry,1790,indica,"['Berry', 'Sweet', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Pain', 'Stress', 'Nausea', 'Headaches', 'Eye Pressure']}","Purple Chemdawg is a potent 75/25 indica-dominant cross between Chemdawg and Granddaddy Purple that delivers powerfully relaxing effects alongside a sweet grape aroma. Though Purple Chemdawg weighs heavy on the body, it leaves your mind free to wander creative, introspective realms. Another rendition by the Cali Connection, dubbed “Purple Chem,” pulls from the genetic line of Chemdawg 91 and Pre-98 Bubba Kush who pass on a similar balance of effects, but with a biting diesel aroma. Patients medicating with Purple Chemdawg have generally found relief for chronic pain while others enjoy its ability to soothe stress and anxiety."
Shiskaquine,1791,hybrid,"['Berry', 'Citrus', 'Pine']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': [], 'medical': ['Pain', 'Stress', 'Headaches', 'Eye Pressure']}","Purple Cotton Candy by LivWell is a calming indica-dominant hybrid strain that crosses Granddaddy Purple and Cotton Candy Kush. Once inhaled, you will notice a cotton candy flavor in the back of your throat as well as hints of lavender and skunk."
Shiva Skunk,1792,indica,"['Skunk', 'Sweet', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches', 'Muscle Spasms']}","Purple Cow is a sativa cannabis strain bred from parents Flo and Dairy Queen. She primarily inherits sativa qualities, passing on uplifting cerebral effects to the consumer. Creative minds will appreciate the extra spark provided by Purple Cow’s dreamy, invigorating euphoria, and her sweet, sour mango aroma has something to offer flavor connoisseurs as well. Purple Cow buds explode with chunky, resin-packed calyxes which can take on a slight purple hue at the end of her maturation cycle."
Shoreline,1793,hybrid,"['Skunk', 'Earthy', 'Pungent']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Pain', 'Stress', 'Nausea', 'Headache', 'Fatigue', 'Muscle Spasms']}","There are at least two variations of the strain Purple Crack. One, bred by Cali Connection, claims to be Green Crack genetics crossed with a Blackwater male. The other is bred by the Qola Family using Juicy Fruit in combination with Green Crack. Despite the mix in genetics, both express themselves as sativa-dominant hybrids that deliver a smooth burst of energy with an elevated mood. Purple Crack is a delightful way to stimulate creativity with effects that are presented with a mix of flavors ranging from floral earthy notes of pine to fresh citrus fruit."
Shurman #7,1794,hybrid,"['Earthy', 'Sweet']","{'positive': ['Relaxed'], 'negative': [], 'medical': ['Pain', 'Stress']}","Purple Cream has been a favorite of anxiety sufferers for over a decade. Great for nighttime use, this indica is mellow and calming. Purple Cream produces a moderate body-heavy sensation, relaxing your muscles and easing stress. The effects of this strain are quite sedative and can last around two hours. Like other purples, Purple Cream’s aroma is sweet, floral, and earthy."
Sierra Mist,1795,hybrid,"['Citrus', 'Sweet', 'Butter']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Pain', 'Stress', 'Cramps', 'Nausea', 'Headaches']}","Purple Diesel, bred by Cali Connection, is a wonder among hybrid strains. While most of the effects are similar to traditional sativas (energizing, uplifting, focused), Purple D is also an exceptional strain for pain relief. A sneaky cross between Pre-98 Bubba Kush and Sour Diesel, this strain takes a while to fully kick in. However, once the effects begin to present themselves, users are struck by a type of giggly, euphoric bliss. A favorite among daytime users, Purple Diesel features a sour, fuel-like aroma. For those interested in growing, this strain has an early flowering time of around 8 weeks and features dense buds with deep purple leaves."
Silver Back,1796,hybrid,"['Citrus', 'Earthy', 'Tropical']","{'positive': ['Euphoric', 'Happy', 'Talkative', 'Uplifted', 'Aroused'], 'negative': ['Anxious'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Nausea']}","With a name like Purple Dog Shit, this hybrid strain sure knows how to garner attention. Its parent strain Dog Shit was named for its funky smell that some compare to dog turds, but this stain is more often described as earthy with a sweet touch of grape. Though its genetics aren’t certain, popular conjecture names Purple Urkle or another similar Purple strain as the second parent. Some Purple Dog Shit phenotypes exhibit a high level of CBD, a non-psychoactive cannabinoid known for its ability to treat pain, inflammation, and anxiety. Tranquilizing body effects ease you into deep relaxation and a good night's sleep."
Silver Bubble,1797,hybrid,"['Sweet', 'Citrus', 'Pungent']","{'positive': ['Relaxed', 'Happy', 'Uplifted', 'Sleepy', 'Focused'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']}","Purple Dragon is not your average indica. This cross between Purple Urkle and Blue Dragon is more stimulating than other indicas, providing users with a cerebral and energizing experience upon first taste. While initially uplifting, Purple Dragon shows its full range of effects over time. Relaxing muscles and relieving pain, this strain provides a gentle and effective body buzz. Purple Dragon’s unique effects are complemented by its smooth aroma. Like other purples, this strain features a musky scent and floral taste. Purple Dragon is a must-try strain for those looking for a truly different cannabis experience"
Silver Haze,1799,sativa,"['Earthy', 'Sweet', 'Woody']","{'positive': ['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Muscle Spasms']}","Purple Dream is the mild child of Granddaddy Purple and Blue Dream. Featuring a strong sour grape smell and musty taste, this hybrid is slightly indica dominant. Purple Dream provides users with a relaxing tingly body sensation and has moderate head-heavy effects. It allows patients to function yet acts as a gentle sedative. This strain is great for those suffering from pain or who just need help winding down. "
Silver Kush,1800,sativa,"['Citrus', 'Earthy', 'Pungent']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Giggly'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']}",
Silver Pearl,1802,hybrid,"['Citrus', 'Skunk', 'Pungent']","{'positive': ['Energetic', 'Uplifted', 'Tingly'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Eye Pressure']}","Purple Goat is a hybrid cross between Trainwreck and Blueberry Skunk, created by Oregon OMMP growers in the early 2010s. With a mostly sativa growth pattern, Purple Goat produces dense indica buds of a dark purple hue with a rich palate of sweet grass and spicy herbs. An early flowerer, Purple Goat will finish its maturation cycle by the end of September outdoors. When consumed, Purple Goat has an earthy taste with blueberry overtones and provides a feeling of deep relaxation."
Silver Surfer,1803,hybrid,"['Sweet', 'Woody', 'Earthy']","{'positive': ['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}","If you’re looking to kick back and unwind after a long day, Purple Goo is there to give you a hand. This indica is pure relaxation with a euphoric twist. Providing users with a moderate-strong heavy body sensation and a sense of spiritual uplift, Purple Goo is a great nighttime strain and works well for users who suffer from pain, stress, and depression. This is a sweet-tasting strain and has a piney, floral smell."
Silver Train,1804,sativa,"['Pine', 'Sweet', 'Pungent']","{'positive': ['Euphoric', 'Creative', 'Energetic', 'Focused', 'Aroused'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Inflammation']}","Purple Gorilla, named for its violet, oversized buds, is an indica-dominant hybrid that originated in the Bay Area of California. While we can’t be sure of its lineage, Purple Gorilla is said to contain 60% indica genetics, which are evident in its potent relief of pain, insomnia, migraines, and muscle spasms. Its aroma is a sweet fusion of grape, cherry, and citrus, which brings even more allure to its purple, trichome-speckled buds. Following Purple Gorilla’s 7 to 8 week flowering time, growers are rewarded with massive yields of this highly medicinal indica gem."
Silverback Gorilla,1805,indica,"['Pungent', 'Flowery', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']}","Purple Hashplant is a hybrid cannabis strain that provides well-balanced head and body effects along with great flavor. These diligent plants are easy to grow and should be ready with their bouquet of perfumed flowers within 8 to 9 weeks. Buds will have a “purple” taste that their color hints at, full of dark fruit and berry notes. Purple Hashplant produces euphoric effects that are great for relaxing or clearing the mind."
Silverfalls Kush,1806,hybrid,"['Sweet', 'Berry', 'Spicy/Herbal']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Giggly'], 'negative': ['Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Cramps', 'Inflammation']}","Popularized by Jimi Hendrix’s 1967 classic, Purple Haze delivers a dreamy burst of euphoria that brings veteran consumers back to their psychedelic heyday. This nostalgic sativa staple remains cherished for its high-energy cerebral stimulation that awakens creativity and blissful contentment throughout the day. Purple Haze is believed to have descended from parent strains Purple Thai and Haze, who pass on a mix of sweet and earthy flavors underscored by notes of berry and sharp spice. Following her 8 to 9 week flowering time, Purple Haze buds typically acquire vibrant hues of lavender that further justify the naming of this strain."
Silverhawks OG,1807,sativa,"['Citrus', 'Earthy', 'Flowery']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}","Purple Headband is a 50/50 hybrid strain that combines the famous Headband with an unknown “purple” hybrid, resulting in dense pink and purple flowers covered in greenish trichomes. It often produces a strong fruity aroma with just a hint of gasoline, and a similar flavor with undertones of pine. The high has been likened to that of Headband: uplifting yet relaxing with a warm, fuzzy pressure that gradually creeps from your temples across your forehead.      "
Sin City Kush,1808,indica,"['Grape', 'Pine', 'Nutty']","{'positive': ['Relaxed', 'Euphoric', 'Uplifted', 'Tingly', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Eye Pressure', 'Muscle Spasms']}","A cross between Hindu Kush and Purple Afghani, Purple Hindu Kush is almost pure indica and offers the kind of high one would expect from its lineage: deep relaxation along with pronounced pain relief. Featuring dense lavender flowers with bright orange pistils and a thick blanket of trichomes, as well as a pungent sour grape and citrus flavor, PHK will be sure to please indica lovers everywhere.  "
Sin Valley OG,1809,hybrid,"['Earthy', 'Citrus', 'Skunk']","{'positive': ['Relaxed', 'Happy', 'Sleepy', 'Giggly'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Headaches']}","If you’re looking to knock out stress in a hurry, Purple Ice may be the strain for you. Potent and relaxing, this hybrid is good for any time of day. Slightly sativa-dominant, Purple Ice produces euphoric and focused effects in users. This strain is known for creating a calming, tingly sensation that begins in the head before traveling to the rest of your body. Purple Ice features a slight blueberry scent and a mellow taste, making it a great strain for new users."
SinMint Cookies,1810,hybrid,"['Minty', 'Mint', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Cramps']}","If you enjoy the sativa-dominant Jack Herer but are looking for more low-key, relaxed effects, Purple Jack is for you. This fruity, spicy hybrid combines Jack Herer with Purple Kush for a buzz that walks somewhere between mental energy and a full-body calm. Over time, the cerebral invigoration may fade to a lethargy conducive for sleep and rest. Enveloped by dark purple leaves, Purple Jack’s buds are typically a dark green color with a heavy sugaring of kief."
Sirius Black,1812,indica,"['Grape', 'Berry', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']}",Purple Jolly Rancher is a 75% indica cross between Purple Kush and Route 66 (also known as Jolly Rancher).
Six Shooter,1813,hybrid,"['Skunk', 'Sweet', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Headaches']}","Purple Kush is a pure indica strain that emerged from the Oakland area of California as the result of a Hindu Kush and Purple Afghani cross. Its aroma is subtle and earthy with sweet overtones typical of Kush varieties. Blissful, long-lasting euphoria blankets the mind while physical relaxation rids the body of pain, sleeplessness, and stress. Purple Kush will grow wide rather than tall, and will be ready for harvest following an 8 week flowering time."
Skins Skunk,1814,hybrid,"['Lemon', 'Strawberry', 'Sweet']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Giggly'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Cramps', 'Muscle Spasms']}",Purple Linda by Bedford Grow is a cross between Tom Hill’s Haze and an unknown purple hybrid thought to be a Purple Urkle clone. The result is a visually stunning and aromatically pleasing indica. Purple Linda is known for lavender and fuchsia accents on bright green flowers covered in silver trichomes and curling orange hairs. Notes of orange rind and blackberry combine with creamy floral terpenes for a truly unique aroma. Balanced effects and a unique palate make this delicious strain a welcome companion day or night.
